Riding,Candidate Name,Party
Columbia River-Revelstoke,Justin James Hooles,Independent
Columbia River-Revelstoke,Gerry Taft,BC NDP
Coquitlam-Burke Mountain,Joan Isaacs,BC Liberal Party
Coquitlam-Burke Mountain,Jodie Wickens,BC NDP
Coquitlam-Maillardville,Steve Kim,BC Liberal Party
Coquitlam-Maillardville,Selina Mae Robinson,BC NDP
Coquitlam-Maillardville,Nicola Eyton Spurling,BC Green Party
Courtenay-Comox,Jim Benninger,BC Liberal Party
Courtenay-Comox,Ronna-Rae Leonard,BC NDP
Courtenay-Comox,Leah Catherine McCulloch,BC Conservative Party
Courtenay-Comox,Ernie Sellentin,BC Green Party
Cowichan Valley,James Robert Anderson,Libertarian
Cowichan Valley,Sonia Furstenau,BC Green Party
Cowichan Valley,Steve Housser,BC Liberal Party
Cowichan Valley,Lori Lynn Iannidinardo,BC NDP
Cowichan Valley,Ian Morrison,Independent
Delta North,Scott Hamilton,BC Liberal Party
Delta North,Ravi Kahlon,BC NDP
Delta North,Jacquie Miller,BC Green Party
Delta South,Larry Colero,BC Green Party
Delta South,Ian Paton,BC Liberal Party
Delta South,Bruce Reid,BC NDP
Delta South,Nicholas Wong,Independent
Esquimalt-Metchosin,Mitzi Jayne Dean,BC NDP
Esquimalt-Metchosin,Barb Desjardins,BC Liberal Party
Esquimalt-Metchosin,Andy MacKinnon,BC Green Party
Esquimalt-Metchosin,Josh Steffler,Libertarian
Fraser-Nicola,Arthur Alexander Green,BC Green Party
Fraser-Nicola,Michael Henshall,BC Social Credit Party
Fraser-Nicola,Harry Lali,BC NDP
Fraser-Nicola,Jackie L. Tegart,BC Liberal Party
Kamloops-North Thompson,Dan Hines,BC Green Party
Kamloops-North Thompson,Peter Paul Kerek,Communist Party of BC
Kamloops-North Thompson,Peter Gordon Milobar,BC Liberal Party
Kamloops-North Thompson,Barb Nederpel,BC NDP
Kamloops-South Thompson,Nancy Bepple,BC NDP
Kamloops-South Thompson,Donovan Cavers,BC Green Party
Kamloops-South Thompson,Beat Klossner,Communist Party of BC
Kamloops-South Thompson,Todd Graham Stone,BC Liberal Party
Kelowna-Lake Country,Norm Letnick,BC Liberal Party
Kelowna-Lake Country,Alison Shaw,BC Green Party
Kelowna-Mission,Charles Hardy,BC Conservative Party
Kelowna-Mission,Steve Thomson,BC Liberal Party
Kelowna-Mission,Rainer Wilkins,BC Green Party
Kelowna West,Christy Clark,BC Liberal Party
Kelowna West,Shelley Cook,BC NDP
Kelowna West,Robert Mellalieu,BC Green Party
Kelowna West,Brian Thiesen,Independent
Kootenay East,Keith D. Komar,Libertarian
Kootenay East,Randal Macnair,BC NDP
Kootenay East,Tom Glenn Shypitka,BC Liberal Party
Kootenay West,Katrine Conroy,BC NDP
Kootenay West,Sam Troy,BC Green Party
Langford-Juan de Fuca,Scott Burton,Libertarian
Langford-Juan de Fuca,John Horgan,BC NDP
Langford-Juan de Fuca,Willie Nelson,The Vancouver Island Party
Langford-Juan de Fuca,Cathy Noel,BC Liberal Party
Langford-Juan de Fuca,Brendan Ralfs,BC Green Party
Langley,Gail Chaddock-Costello,BC NDP
Langley,Mary Polak,BC Liberal Party
Langley East,Rich Coleman,BC Liberal Party
Langley East,Inder Johal,BC NDP
Maple Ridge-Mission,Bob D'Eith,BC NDP
Maple Ridge-Mission,Marc Dalton,BC Liberal Party
Maple Ridge-Mission,Peter Pak Chiu Tam,BC Green Party
Maple Ridge-Pitt Meadows,Lisa Marie Beare,BC NDP
Maple Ridge-Pitt Meadows,Doug Bing,BC Liberal Party
Maple Ridge-Pitt Meadows,Alex Pope,BC Green Party
Maple Ridge-Pitt Meadows,Steve Ranta,Independent
Mid Island-Pacific Rim,Scott Kenneth Fraser,BC NDP
Mid Island-Pacific Rim,Alicia La Rue,BC Green Party
Nanaimo,Paris Gaudet,BC Liberal Party
Nanaimo,Leonard Krog,BC NDP
Nanaimo,Bill Walker,Libertarian
Nanaimo-North Cowichan,Alana DeLong,BC Liberal Party
Nanaimo-North Cowichan,P. Anna Paddon,Independent
Nanaimo-North Cowichan,Doug Routley,BC NDP
Nanaimo-North Cowichan,Lia Marie Constance Versaevel,BC Green Party
Nechako Lakes,Jon Rempel,Libertarian
Nechako Lakes,John Rustad,BC Liberal Party
Nechako Lakes,Anne Marie Sam,BC NDP
Nelson-Creston,Kim Charlesworth,BC Green Party
Nelson-Creston,Michelle Mungall,BC NDP
Nelson-Creston,Jesse O'Leary,Independent
Nelson-Creston,Tom Prior,Independent
Nelson-Creston,Tanya Rae Wall,BC Liberal Party
New Westminster,Jonina Campbell,BC Green Party
New Westminster,Judy Darcy,BC NDP
North Coast,Herb Pond,BC Liberal Party
North Coast,Jennifer Rice,BC NDP
North Island,Sue Moen,BC Green Party
North Island,Dallas William Smith,BC Liberal Party
North Island,Claire Felicity Trevena,BC NDP
North Island,John M. Twigg,BC First
North Vancouver-Lonsdale,Bowinn Ma,BC NDP
North Vancouver-Lonsdale,Richard Warrington,BC Green Party
North Vancouver-Lonsdale,Naomi Yamamoto,BC Liberal Party
North Vancouver-Seymour,Michael Rene Charrois,BC NDP
North Vancouver-Seymour,Joshua Johnson,BC Green Party
North Vancouver-Seymour,Jane Ann Thornthwaite,BC Liberal Party
North Vancouver-Seymour,Clayton Welwood,Libertarian
Oak Bay-Gordon Head,Bryce Casavant,BC NDP
Oak Bay-Gordon Head,Alex Dutton,BC Liberal Party
Oak Bay-Gordon Head,Andrew John Weaver,BC Green Party
Oak Bay-Gordon Head,Jin Dong Yang-Riley,The Vancouver Island Party
Parksville-Qualicum,Terry Hand,BC Refed
Parksville-Qualicum,Sue Powell,BC NDP
Parksville-Qualicum,Glenn Sollitt,BC Green Party
Parksville-Qualicum,Michelle Stilwell,BC Liberal Party
Peace River North,Dan Davies,BC Liberal Party
Peace River North,Rob Dempsey,BC NDP
Peace River North,Bob Fedderly,Independent
Peace River North,Rob Fraser,Independent
Peace River North,Jeff Richert,Independent
Peace River South,Mike Bernier,BC Liberal Party
Peace River South,Stephanie Goudie,BC NDP
Penticton,Dan Ashton,BC Liberal Party
Penticton,Tarik Sayeed,BC NDP
Port Coquitlam,Susan Chambers,BC Liberal Party
Port Coquitlam,Mike Farnworth,BC NDP
Port Coquitlam,Billy Gibbons,BC Cascadia Party
Port Coquitlam,Jason Hanley,BC Green Party
Port Moody-Coquitlam,Don Barthel,BC Green Party
Port Moody-Coquitlam,Rick Glumac,BC NDP
Port Moody-Coquitlam,Linda Reimer,BC Liberal Party
Powell River-Sunshine Coast,Kim Darwin,BC Green Party
Powell River-Sunshine Coast,Reuben Richards,BC Cascadia Party
Powell River-Sunshine Coast,Nicholas Simons,BC NDP
Powell River-Sunshine Coast,Mathew Wilson,BC Liberal Party
Prince George-Mackenzie,Bobby Deepak,BC NDP
Prince George-Mackenzie,Mike Morris,BC Liberal Party
Prince George-Valemount,Shirley Bond,BC Liberal Party
Prince George-Valemount,Natalie Fletcher,BC NDP
Prince George-Valemount,Nan Kendy,BC Green Party
Richmond North Centre,Lyren Chiu,BC NDP
Richmond North Centre,John Crocock,BC Action Party
Richmond North Centre,Dong Pan,Independent
Richmond North Centre,Teresa Wat,BC Liberal Party
Richmond-Queensborough,Lawrence Chen,Republican Party
Richmond-Queensborough,Jas Johal,BC Liberal Party
Richmond-Queensborough,Aman Singh,BC NDP
Richmond South Centre,Linda Reid,BC Liberal Party
Richmond-Steveston,Kelly Greene,BC NDP
Richmond-Steveston,John Yap,BC Liberal Party
Saanich North and the Islands,Gary Holman,BC NDP
Saanich North and the Islands,Adam Olsen,BC Green Party
Saanich North and the Islands,Stephen P. Roberts,BC Liberal Party
Saanich North and the Islands,Jordan Templeman,Independent
Saanich South,David Calder,BC Liberal Party
Saanich South,Andrew Paul McLean,Libertarian
Saanich South,Mark Neufeld,BC Green Party
Saanich South,Richard Percival Pattee,The Vancouver Island Party
Saanich South,Lana Popham,BC NDP
Shuswap,Kevin Babcock,BC Green Party
Shuswap,Gregory James Kyllo,BC Liberal Party
Shuswap,Sylvia Jean Lindgren,BC NDP
Skeena,Bruce Alan Bidgood,BC NDP
Skeena,Ellis Ross,BC Liberal Party
Stikine,Doug Donaldson,BC NDP
Stikine,Rod Taylor,Christian Heritage Party of B.C.
Surrey-Cloverdale,Marvin Hunt,BC Liberal Party
Surrey-Cloverdale,Aleksandra Muniak,BC Green Party
Surrey-Cloverdale,Peter Poelstra,Libertarian
Surrey-Cloverdale,Rebecca Smith,BC NDP
Surrey-Fleetwood,Tim Binnema,BC Green Party
Surrey-Fleetwood,Jagrup Brar,BC NDP
Surrey-Fleetwood,Peter Fassbender,BC Liberal Party
Surrey-Green Timbers,Saira Aujla,BC Green Party
Surrey-Green Timbers,Brenda Joy Locke,BC Liberal Party
Surrey-Green Timbers,Rachna Singh,BC NDP
Surrey-Guildford,Garry Begg,BC NDP
Surrey-Guildford,Jodi Murphy,BC Green Party
Surrey-Guildford,Amrik Virk,BC Liberal Party
Surrey-Newton,Harry Bains,BC NDP
Surrey-Newton,Balpreet Singh Bal,Other
Surrey-Panorama,Puneet Sandhar,BC Liberal Party
Surrey-Panorama,Jinny Sims,BC NDP
Surrey South,Stephanie Cadieux,BC Liberal Party
Surrey South,Gary Hee,Independent
Surrey South,Peter Njenga,Independent
Surrey South,Fabiola Cecilia Palomino,Your Political Party of BC (YPP)
Surrey South,Jonathan Silveira,BC NDP
Surrey-Whalley,Sargy Chima,BC Liberal Party
Surrey-Whalley,Bruce Ralston,BC NDP
Surrey-White Rock,Tom Bryant,Independent
Surrey-White Rock,Bill Marshall,BC Green Party
Surrey-White Rock,Niovi Patsicakis,BC NDP
Surrey-White Rock,Tracy Redies,BC Liberal Party
Vancouver-Fairview,Joey Doyle,Your Political Party of BC (YPP)
Vancouver-Fairview,Gabe Garfinkel,BC Liberal Party
Vancouver-Fairview,George Heyman,BC NDP
Vancouver-False Creek,James Filippelli,Your Political Party of BC (YPP)
Vancouver-False Creek,Morgane Oger,BC NDP
Vancouver-False Creek,Sam Sullivan,BC Liberal Party
Vancouver-Fraserview,Suzanne Anton,BC Liberal Party
Vancouver-Fraserview,Harpreet S. Bajwa,Your Political Party of BC (YPP)
Vancouver-Fraserview,George Chow,BC NDP
Vancouver-Fraserview,Eric Kolotyluk,BC Green Party
Vancouver-Hastings,Shane Lee Simpson,BC NDP
Vancouver-Hastings,David H.T. Wong,BC Green Party
Vancouver-Kensington,Kim Jee Chan Logan,BC Liberal Party
Vancouver-Kensington,Mable Elmore,BC NDP
Vancouver-Kensington,Simon Alexander Rear,BC Green Party
Vancouver-Kingsway,Ellisa Calder,BC Green Party
Vancouver-Kingsway,Adrian Dix,BC NDP
Vancouver-Kingsway,Trang Nguyen,BC Liberal Party
Vancouver-Langara,Janet Rhoda Fraser,BC Green Party
Vancouver-Langara,Michael Lee,BC Liberal Party
Vancouver-Langara,Surinder Singh Trehan,Your Political Party of BC (YPP)
Vancouver-Langara,James Wang,BC NDP
Vancouver-Mount Pleasant,Jerry Kroll,BC Green Party
Vancouver-Mount Pleasant,Conny Lin,BC Liberal Party
Vancouver-Mount Pleasant,Melanie Mark,BC NDP
Vancouver-Point Grey,David Robert Patrick Eby,BC NDP
Vancouver-Point Grey,Amanda Konkin,BC Green Party
Vancouver-Point Grey,James Lombardi,BC Liberal Party
Vancouver-Point Grey,David Stall,Your Political Party of BC (YPP)
Vancouver-Quilchena,Madeline Lalonde,BC NDP
Vancouver-Quilchena,Andrew Wilkinson,BC Liberal Party
Vancouver-West End,Spencer Chandra Herbert,BC NDP
Vancouver-West End,Nigel Elliott,BC Liberal Party
Vancouver-West End,James Marshall,BC Green Party
Vernon-Monashee,Barry Charles Dorval,BC NDP
Vernon-Monashee,Eric Bailey Foster,BC Liberal Party
Vernon-Monashee,Don Jefcoat,Libertarian
Vernon-Monashee,Keli Westgate,BC Green Party
Victoria-Beacon Hill,Kalen Harris,BC Green Party
Victoria-Beacon Hill,Carole James,BC NDP
Victoria-Beacon Hill,Art Lowe,Libertarian
Victoria-Swan Lake,Rob Fleming,BC NDP
Victoria-Swan Lake,Christopher Alan Maxwell,BC Green Party
West Vancouver-Capilano,Michael Markwick,BC Green Party
West Vancouver-Capilano,Mehdi Russel,BC NDP
West Vancouver-Capilano,Ralph Sultan,BC Liberal Party
West Vancouver-Sea to Sky,Tristan Andrew Galbraith,Independent
West Vancouver-Sea to Sky,Michelle Livaja,BC NDP
West Vancouver-Sea to Sky,Jordan Sturdy,BC Liberal Party
West Vancouver-Sea to Sky,Dana Moore Taylor,BC Green Party
